,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
21593,22187,Nattan Benjasupawan,1994-08-22 00:00:00,THA,,,,,,,,,,,,,,,,,,,100133229.0
21595,22189,Gianluigi Quinzi,1996-02-01 00:00:00,ITA,337.0,-2.0,140.0,3.0,2.0,93.0,18.0,0.0,0.0,0.0,0.0,60506.0,,480.0,-39.0,114.0,0.0,0.0,100161116.0
21598,22192,Farrukh Dustov/Alessandro Motti,,,,,,,,,,,,,,,,,,,,,
21600,22194,Karol Beck/Igor Zelenay,,,,,,,,,,,,,,,,,,,,,
21610,22204,Ruben Bemelmans/Igor Sijsling,,,,,,,,,,,,,,,,,,,,,
21618,22212,John-Paul Fruttero/Raven Klaasen,,,,,,,,,,,,,,,,,,,,,
21621,22215,Sekou Bangoura/Tennys Sandgren,,,,,,,,,,,,,,,,,,,,,
21622,22216,Lewis Burton/Daniel Evans,,,,,,,,,,,,,,,,,,,,,
21627,22221,Pavol Cervenak/Marek Semjan,,,,,,,,,,,,,,,,,,,,,
21633,22227,Ricky Medinilla,1995-03-24 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100147803.0
21641,22235,Albert Alcaraz Ivorra,1995-05-15 00:00:00,ESP,467.0,1.0,81.0,4.0,3.0,76.0,22.0,0.0,0.0,0.0,0.0,31509.0,,741.0,6.0,58.0,0.0,1.0,100149827.0
21645,22239,Stefan Williams,1992-11-05 00:00:00,NZL,,,,,,,,,,,,,,,,,,,100103325.0
21646,22240,Adam Lee,1992-06-02 00:00:00,NZL,,,,,,,,,,,,,,,,,,,100131251.0
21647,22241,Jaden Grinter,1993-05-24 00:00:00,NZL,,,,,,,,,,,,,,,,,,,100129684.0
21650,22244,Spencer Papa,1995-10-22 00:00:00,USA,,,,,,,,,,,,,,,,,,,100156519.0
21665,22259,Dino Marcan/Franko Skugor,,,,,,,,,,,,,,,,,,,,,
21670,22264,Colin Fleming/Andy Murray,,,,,,,,,,,,,,,,,,,,,
21675,22269,Kaichi Uchida,1994-08-23 00:00:00,JPN,416.0,0.0,103.0,34.0,20.0,18.0,14.0,0.0,0.0,0.0,0.0,26199.0,,333.0,-20.0,200.0,3.0,1.0,100135843.0
21678,22272,Juan Manuel Matute,1991-12-28 00:00:00,ARG,,,,,,,,,,,,12378.0,,,,,,,100131180.0
21683,22277,Alexandre Tsuchiya,1992-12-05 00:00:00,BRA,877.0,-47.0,18.0,8.0,3.0,24.0,21.0,0.0,0.0,0.0,0.0,28908.0,,439.0,-17.0,131.0,0.0,0.0,100139974.0
21684,22278,Adrian Rafael Fernandez Contreras,1993-04-26 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100120167.0
21686,22280,Libor Salaba,1992-08-26 00:00:00,CZE,668.0,-1.0,38.0,37.0,10.0,15.0,18.0,0.0,0.0,3.0,2.0,34307.0,,330.0,1.0,201.0,0.0,0.0,100116107.0
21688,22282,Brendan Zackey,1976-02-12 00:00:00,RSA,,,,,,,,,,,,,,,,,,,10018266.0
21698,22292,Hiroyasu Ehara/Shuichi Sekiguchi,,,,,,,,,,,,,,,,,,,,,
21700,22294,Hiroki Moriya/Bumpei Sato,,,,,,,,,,,,,,,,,,,,,
21705,22299,Johan Brunstrom/Ken Skupski,,,,,,,,,,,,,,,,,,,,,
21706,22300,Micke Kontinen/Frederik Nielsen,,,,,,,,,,,,,,,,,,,,,
21711,22305,Alexander Kudryavtsev/Michal Przysiezny,,,,,,,,,,,,,,,,,,,,,
21722,22316,Martin Alund/Guillermo Duran,,,,,,,,,,,,,,,,,,,,,
21729,22323,Roberto Cid,1993-08-30 00:00:00,DOM,617.0,-3.0,46.0,,,,,,,,,,,,,,,,100126872.0
21745,22339,Raul Francisquiny,1993-07-26 00:00:00,BRA,,,,,,,,,,,,,,,,,,,100163404.0
21750,22344,Abdulrahman Al Harib,1995-01-24 00:00:00,QAT,,,,,,,,,,,,,,,,,,,
21752,22347,Max Mirnyi/Daniel Nestor,,,,,,,,,,,,,,,,,,,,,
