,ID_P,NAME_P,DATE_P,COUNTRY_P,RANK_P,PROGRESS_P,POINT_P,HARDPOINT_P,HARDTOUR_P,CLAYPOINT_P,CLAYTOUR_P,GRASSPOINT_P,GRASSTOUR_P,CARPETPOINT_P,CARPETTOUR_P,PRIZE_P,CH_P,DR_P,DP_P,DO_P,IHARDPOINT_P,IHARDTOUR_P,ITF_ID
27594,28467,Victor Crivoi/Stephane Robert,,,,,,,,,,,,,,,,,,,,,
27595,28468,Durukan Durmus/Anil Yuksel,,,,,,,,,,,,,,,,,,,,,
27596,28469,Cem Ilkel/Efe Yurtacan,,,,,,,,,,,,,,,,,,,,,
27597,28470,Marcin Gawron/Artem Smirnov,,,,,,,,,,,,,,,,,,,,,
27598,28471,Guillermo Duran/Agustin Velotti,,,,,,,,,,,,,,,,,,,,,
27599,28472,Ricardo Hocevar/Eduardo Russi Assumpcao,,,,,,,,,,,,,,,,,,,,,
27600,28473,Guido Andreozzi/Ariel Behar,,,,,,,,,,,,,,,,,,,,,
27601,28474,James Duckworth/Pierre-Hugues Herbert,,,,,,,,,,,,,,,,,,,,,
27602,28475,Pavol Cervenak/Hans Podlipnik-Castillo,,,,,,,,,,,,,,,,,,,,,
27603,28476,Steven Diez/Marc Giner,,,,,,,,,,,,,,,,,,,,,
27604,28477,Andrea Collarini/Leonardo Kirche,,,,,,,,,,,,,,,,,,,,,
27605,28478,Jozef Kovalik/Alexander Lobkov,,,,,,,,,,,,,,,,,,,,,
27606,28479,Andre Ghem/Daniel Kosakowski,,,,,,,,,,,,,,,,,,,,,
27607,28481,Dusan Lojda/Boris Pashanski,,,,,,,,,,,,,,,,,,,,,
27608,28482,Alexandre Schnitman/Joao Walendowsky,,,,,,,,,,,,,,,,,,,,,
27609,28483,Joao Menezes/Leonardo Civita-Telles,,,,,,,,,,,,,,,,,,,,,
27610,28485,Jassem Al Zeyara,1997-12-09 00:00:00,QAT,,,,,,,,,,,,,,,,,,,100202027.0
27614,28490,Tuna Altuna/Michael Linzer,,,,,,,,,,,,,,,,,,,,,
27615,28491,Manuele Baldini,1995-07-18 00:00:00,ITA,,,,,,,,,,,,,,,,,,,100188951.0
27616,28492,Federico Bonacia,1997-01-14 00:00:00,ITA,,,,,,,,,,,,,,,,,,,100166256.0
27617,28493,Gabriel Goncalves,,BRA,,,,,,,,,,,,,,,,,,,
27618,28494,Francis Williams,1994-06-05 00:00:00,USA,,,,,,,,,,,,,,,,,,,100185464.0
27619,28495,Ricardo Pena,1997-06-06 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100201892.0
27620,28496,Ricardo Trevino,1996-02-29 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100223050.0
27621,28497,Jack Heather,1991-10-22 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100126856.0
27622,28498,Luis Gomez,1992-12-18 00:00:00,PAN,,,,,,,,,,,,,,,,,,,100201197.0
27623,28499,Juan Martin Ramirez,1997-04-01 00:00:00,COL,,,,,,,,,,,,,,,,,,,100217556.0
27624,28500,Robert Lindstedt/Daniel Nestor,,,,,,,,,,,,,,,,,,,,,
27625,28501,Gilles Simon/Mikhail Youzhny,,,,,,,,,,,,,,,,,,,,,
27626,28502,Milos Raonic/Bernard Tomic,,,,,,,,,,,,,,,,,,,,,
27627,28503,Julien Benneteau/Nenad Zimonjic,,,,,,,,,,,,,,,,,,,,,
27628,28504,Julian Knowle/Frederik Nielsen,,,,,,,,,,,,,,,,,,,,,
27629,28505,Ivan Dodig/Radek Stepanek,,,,,,,,,,,,,,,,,,,,,
27630,28506,Fabio Fognini/Nicolas Mahut,,,,,,,,,,,,,,,,,,,,,
27631,28507,Dustin Brown/Jamie Delgado,,,,,,,,,,,,,,,,,,,,,
27632,28508,Filippo Baldi/Gianluigi Quinzi,,,,,,,,,,,,,,,,,,,,,
27633,28509,Miguel-Angel Lopez Jaen/Jordi Marse-Vidri,,,,,,,,,,,,,,,,,,,,,
27634,28510,Jan Mertl/Aleksandr Nedovesov,,,,,,,,,,,,,,,,,,,,,
27635,28511,Marco Cecchinato/Stefano Napolitano,,,,,,,,,,,,,,,,,,,,,
27636,28512,Massimo Capone/Marco Viola,,,,,,,,,,,,,,,,,,,,,
27637,28513,Frederico Gil/Mikhail Kukushkin,,,,,,,,,,,,,,,,,,,,,
27638,28514,Rogelio Siller,1995-07-11 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100160872.0
27639,28515,Francis Casey Alcantara/Treat Conrad Huey,,,,,,,,,,,,,,,,,,,,,
27640,28516,Hassan Al Mousa/Mohammad Ghareeb,,,,,,,,,,,,,,,,,,,,,
27641,28517,Marc Abdelnour/Majdi Salim,,,,,,,,,,,,,,,,,,,,,
27642,28518,Sam Barry/Colin O'Brien,,,,,,,,,,,,,,,,,,,,,
27643,28519,Damir Dzumhur/Ismar Gorcic,,,,,,,,,,,,,,,,,,,,,
27644,28520,Gastao Elias/Rui Machado,,,,,,,,,,,,,,,,,,,,,
27645,28521,Kasparas Zemaitelis,1995-10-05 00:00:00,LTU,,,,,,,,,,,,,,,,,,,100166647.0
27646,28522,Mantas Bugailiskis,1996-05-02 00:00:00,LTU,,,,,,,,,,,,,,,,,,,100161653.0
27647,28523,Mantas Bugailiskis/Lukas Mugevicius,,,,,,,,,,,,,,,,,,,,,
27648,28524,Tihomir Grozdanov/Alexander Lazov,,,,,,,,,,,,,,,,,,,,,
27649,28525,Mikk Irdoja/Vladimir Ivanov,,,,,,,,,,,,,,,,,,,,,
27650,28526,Magloire Yakpa,1991-12-18 00:00:00,BEN,,,,,,,,,,,,,,,,,,,100115373.0
27651,28527,Alexis Klegou/Magloire Yakpa,,,,,,,,,,,,,,,,,,,,,
27652,28528,Allan Gomes Oliveira/Caio Silva,,,,,,,,,,,,,,,,,,,,,
27653,28529,Steven Diez/Alexander Lobkov,,,,,,,,,,,,,,,,,,,,,
27654,28530,Pavol Cervenak/Matteo Viola,,,,,,,,,,,,,,,,,,,,,
27655,28531,Boris Pashanski/Aldin Setkic,,,,,,,,,,,,,,,,,,,,,
27656,28532,Marc Giner/Rui Machado,,,,,,,,,,,,,,,,,,,,,
27657,28533,Malek Jaziri/Dusan Lojda,,,,,,,,,,,,,,,,,,,,,
27658,28534,Johan Brunstrom/Eric Butorac,,,,,,,,,,,,,,,,,,,,,
27659,28535,Jack Sock/Ze Zhang,,,,,,,,,,,,,,,,,,,,,
27660,28536,Benjamin Becker/Stefano Ianni,,,,,,,,,,,,,,,,,,,,,
27661,28537,Bjorn Fratangelo/Mitchell Krueger,,,,,,,,,,,,,,,,,,,,,
27662,28538,Teimuraz Gabashvili/Denys Molchanov,,,,,,,,,,,,,,,,,,,,,
27664,28540,Jesse Levine/Adrian Menendez-Maceiras,,,,,,,,,,,,,,,,,,,,,
27665,28541,Michael Russell/Tim Smyczek,,,,,,,,,,,,,,,,,,,,,
27666,28542,Alex Jr. Bogomolov/Cedrik-Marcel Stebe,,,,,,,,,,,,,,,,,,,,,
27667,28543,Marcelo Demoliner/Andre Sa,,,,,,,,,,,,,,,,,,,,,
27668,28544,Andrej Martin/Franko Skugor,,,,,,,,,,,,,,,,,,,,,
27669,28545,Matthew Barton/Greg Jones,,,,,,,,,,,,,,,,,,,,,
27670,28546,Jordan Kerr/John-Patrick Smith,,,,,,,,,,,,,,,,,,,,,
27671,28547,Miguel Gallardo-Valles/Miguel-Angel Reyes-Varela,,,,,,,,,,,,,,,,,,,,,
27672,28548,Gianni Mina/Santiago Sierra,,,,,,,,,,,,,,,,,,,,,
27673,28549,Oliver Marach/Frank Moser,,,,,,,,,,,,,,,,,,,,,
27674,28550,Jorge Aguilar/Sergio Galdos,,,,,,,,,,,,,,,,,,,,,
27675,28551,Vahid Mirzadeh/Peter Polansky,,,,,,,,,,,,,,,,,,,,,
27676,28552,Nicolas Barrientos/Alexander Satschko,,,,,,,,,,,,,,,,,,,,,
27677,28553,Flavio Cipolla/Riccardo Ghedin,,,,,,,,,,,,,,,,,,,,,
27678,28554,Ivan Endara/Walner Espinoza,,,,,,,,,,,,,,,,,,,,,
27679,28555,Laurent Rochette/Maxime Teixeira,,,,,,,,,,,,,,,,,,,,,
27680,28556,Jonathan Dasnieres De Veigy/Florian Reynet,,,,,,,,,,,,,,,,,,,,,
27681,28557,Fabiano De Paula/Claudio Grassi,,,,,,,,,,,,,,,,,,,,,
27682,28558,Nicolas Massu/Guillermo Rivera-Aranguiz,,,,,,,,,,,,,,,,,,,,,
27683,28559,Miroslav Kleman,1987-05-27 00:00:00,SVK,,,,,,,,,,,,,,,,,,,100042958.0
27684,28560,Terrell Celestine/Siddhartha Chappidi,,,,,,,,,,,,,,,,,,,,,
27685,28561,Ilija Bozoljac/Somdev Devvarman,,,,,,,,,,,,,,,,,,,,,
27686,28562,Hunt Elliott,1981-05-29 00:00:00,USA,,,,,,,,,,,,,,,,,,,10022303.0
27687,28563,Lucas Santos,1996-12-10 00:00:00,BRA,,,,,,,,,,,,,,,,,,,100233690.0
27688,28564,Bruno Figlia,1996-10-04 00:00:00,BRA,,,,,,,,,,,,,,,,,,,100199942.0
27689,28565,Osni Santos Jr.,,BRA,,,,,,,,,,,,,,,,,,,
27690,28566,Fernando Yamacita,1997-10-01 00:00:00,BRA,,,,,,,,,,,,,,,,,,,100227652.0
27691,28567,Nicolas Almagro/Nenad Zimonjic,,,,,,,,,,,,,,,,,,,,,
27692,28568,Grigor Dimitrov/Radek Stepanek,,,,,,,,,,,,,,,,,,,,,
27693,28569,Carlos Berlocq/Jeremy Chardy,,,,,,,,,,,,,,,,,,,,,
27694,28570,Albert Ramos-Vinolas/Tommy Robredo,,,,,,,,,,,,,,,,,,,,,
27695,28571,Gerard Granollers/Albert Montanes,,,,,,,,,,,,,,,,,,,,,
27696,28572,Victor Hanescu/Gilles Muller,,,,,,,,,,,,,,,,,,,,,
27697,28573,Martin Emmrich/Jarkko Nieminen,,,,,,,,,,,,,,,,,,,,,
27698,28574,Marius Copil/Gael Monfils,,,,,,,,,,,,,,,,,,,,,
27700,28576,Lukas Dlouhy/Oliver Marach,,,,,,,,,,,,,,,,,,,,,
27701,28577,James Cerretani/Pierre-Hugues Herbert,,,,,,,,,,,,,,,,,,,,,
27702,28578,Facundo Arguello/Ruben Ramirez-Hidalgo,,,,,,,,,,,,,,,,,,,,,
27703,28579,Daniel Regan/Georgi Rumenov Payakov,,,,,,,,,,,,,,,,,,,,,
27704,28580,Reid Carleton/Vahid Mirzadeh,,,,,,,,,,,,,,,,,,,,,
27705,28581,Frank Dancevic/Peter Polansky,,,,,,,,,,,,,,,,,,,,,
27706,28582,Cedrik-Marcel Stebe/Ze Zhang,,,,,,,,,,,,,,,,,,,,,
27707,28583,Carsten Ball/Ryan Harrison,,,,,,,,,,,,,,,,,,,,,
27708,28584,Rasul Akhmadaliev,1996-07-11 00:00:00,UZB,,,,,,,,,,,,,,,,,,,100116596.0
27709,28585,Can Oztuzun,1997-05-22 00:00:00,TUR,,,,,,,,,,,,,,,,,,,100167222.0
27710,28586,Antoine Hoang,1995-11-04 00:00:00,FRA,456.0,4.0,86.0,22.0,15.0,10.0,7.0,0.0,0.0,0.0,0.0,15832.0,,406.0,-34.0,153.0,1.0,2.0,100160951.0
27712,28588,Nikolay Davydenko/Denis Istomin,,,,,,,,,,,,,,,,,,,,,
27713,28589,Zong Yuan Shuai,1994-02-12 00:00:00,CHN,,,,,,,,,,,,,,,,,,,100177623.0
27714,28590,Xiao Jun Dong,1997-02-26 00:00:00,CHN,,,,,,,,,,,,,,,,,,,100239988.0
27715,28591,Zhao Yang Wang,1994-07-25 00:00:00,CHN,,,,,,,,,,,,,,,,,,,100173313.0
27716,28592,Yi Fan Wu,1994-05-08 00:00:00,CHN,,,,,,,,,,,,,,,,,,,100143226.0
27717,28593,Kais Dghaies,1995-03-06 00:00:00,TUN,,,,,,,,,,,,,,,,,,,100140369.0
27718,28594,Ghassen Khedher,1997-12-22 00:00:00,TUN,,,,,,,,,,,,,,,,,,,
27719,28595,Krystof Balek,,CZE,,,,,,,,,,,,,,,,,,,
27720,28596,Kristian Lorenc,,CZE,,,,,,,,,,,,,,,,,,,
27721,28597,Stephen Watson,1995-04-21 00:00:00,USA,,,,,,,,,,,,,,,,,,,100172725.0
27722,28598,Rodney Carey,1992-09-23 00:00:00,BAH,,,,,,,,,,,,,,,,,,,100102916.0
27723,28599,Rodolfo Pereira,1995-01-30 00:00:00,POR,,,,,,,,,,,,,,,,,,,100157358.0
27724,28600,Felipe Cunha-Silva,1997-03-31 00:00:00,POR,,,,,,,,,,,,,,558.0,3.0,94.0,,,
27725,28601,Gerhard Johannes Bekker,1992-09-02 00:00:00,RSA,,,,,,,,,,,,,,,,,,,100137667.0
27726,28602,Okkie Kellerman,1997-01-29 00:00:00,RSA,,,,,,,,,,,,,,,,,,,100205138.0
27727,28603,Julius Mutetwa,1998-08-11 00:00:00,ZIM,,,,,,,,,,,,,,,,,,,100238893.0
27728,28604,Pieter Stoltz,1993-09-07 00:00:00,RSA,,,,,,,,,,,,,,,,,,,
27729,28605,Phillip De Bruyn,1996-06-03 00:00:00,RSA,,,,,,,,,,,,,,,,,,,100155870.0
27730,28606,Francois Kellerman,1997-01-29 00:00:00,RSA,,,,,,,,,,,,,,,,,,,100205137.0
27731,28607,Ruben Alberts,1996-06-25 00:00:00,RSA,,,,,,,,,,,,,,,,,,,100184245.0
27732,28608,Louis Pretorius,1993-08-29 00:00:00,RSA,,,,,,,,,,,,,,,,,,,100176619.0
27733,28609,Paolo Lorenzi/Andreas Seppi,,,,,,,,,,,,,,,,,,,,,
27734,28610,Jonathan Erlich/Dominic Inglot,,,,,,,,,,,,,,,,,,,,,
27735,28611,Rohan Bopanna/Andy Ram,,,,,,,,,,,,,,,,,,,,,
27736,28612,Frederico Ferreira Silva/Leonardo Tavares,,,,,,,,,,,,,,,,,,,,,
27737,28613,Johan Brunstrom/Frank Moser,,,,,,,,,,,,,,,,,,,,,
27738,28614,Ivan Dodig/Marinko Matosevic,,,,,,,,,,,,,,,,,,,,,
27739,28615,Lukas Dlouhy/Viktor Troicki,,,,,,,,,,,,,,,,,,,,,
27740,28616,Marcos Baghdatis/Eric Butorac,,,,,,,,,,,,,,,,,,,,,
27741,28617,Santiago Giraldo/Lukasz Kubot,,,,,,,,,,,,,,,,,,,,,
27742,28618,Victor Baluda/Dino Marcan,,,,,,,,,,,,,,,,,,,,,
27743,28619,Laurynas Grigelis/James Mcgee,,,,,,,,,,,,,,,,,,,,,
27744,28620,Alex Bolt/Jose Statham,,,,,,,,,,,,,,,,,,,,,
27745,28621,Nian Feng/Chuhan Wang,,,,,,,,,,,,,,,,,,,,,
27746,28622,Hai-Yun Tan/Ruikai Wang,,,,,,,,,,,,,,,,,,,,,
27747,28623,Alessandro Giannessi/Andrey Golubev,,,,,,,,,,,,,,,,,,,,,
27748,28624,Arthur De Greef/Yannick Mertens,,,,,,,,,,,,,,,,,,,,,
27749,28625,David Guez/Maxime Teixeira,,,,,,,,,,,,,,,,,,,,,
27750,28626,Bastian Knittel/Julian Reister,,,,,,,,,,,,,,,,,,,,,
27751,28627,Frederik Nielsen/Andreas Vinciguerra,,,,,,,,,,,,,,,,,,,,,
27752,28628,Matwe Middelkoop/Leandro Migani,,,,,,,,,,,,,,,,,,,,,
27753,28629,Stefano Ianni/Potito Starace,,,,,,,,,,,,,,,,,,,,,
27754,28630,Giuseppe Abbate/Vincenzo Santonastaso,,,,,,,,,,,,,,,,,,,,,
27758,28634,Dusan Lojda/Aldin Setkic,,,,,,,,,,,,,,,,,,,,,
27759,28635,Stephane Robert/Artem Sitak,,,,,,,,,,,,,,,,,,,,,
27760,28636,Jan Mertl/Boy Westerhof,,,,,,,,,,,,,,,,,,,,,
27761,28637,Dominik Kellovsky/David Poljak,,,,,,,,,,,,,,,,,,,,,
27762,28638,Nikola Mektic/Franko Skugor,,,,,,,,,,,,,,,,,,,,,
27764,28640,Jaroslav Levinsky/Ivo Minar,,,,,,,,,,,,,,,,,,,,,
27765,28641,Tim Puetz/Alexander Satschko,,,,,,,,,,,,,,,,,,,,,
27766,28642,Aljaz Bedene/Marin Draganja,,,,,,,,,,,,,,,,,,,,,
27767,28651,Nicolas Mahut/Florent Serra,,,,,,,,,,,,,,,,,,,,,
27768,28653,Julien Obry/Florian Reynet,,,,,,,,,,,,,,,,,,,,,
27769,28654,Skander Mansouri/Lamine Ouahab,,,,,,,,,,,,,,,,,,,,,
27770,28655,Laurent Rochette/Diego Sebastian Schwartzman,,,,,,,,,,,,,,,,,,,,,
27771,28656,Rameez Junaid/Adrian Menendez-Maceiras,,,,,,,,,,,,,,,,,,,,,
27772,28657,Radu Albot/Benjamin Becker,,,,,,,,,,,,,,,,,,,,,
27773,28658,Farrukh Dustov/Adrian Ungur,,,,,,,,,,,,,,,,,,,,,
27774,28659,Jamie Delgado/Andreas Siljestrom,,,,,,,,,,,,,,,,,,,,,
27775,28660,Francois Kellerman/Okkie Kellerman,,,,,,,,,,,,,,,,,,,,,
27776,28661,Mate Pavic/Goran Tosic,,,,,,,,,,,,,,,,,,,,,
27777,28662,Keith-Patrick Crowley/Tucker Vorster,,,,,,,,,,,,,,,,,,,,,
27778,28663,Richard Becker/Fabrice Martin,,,,,,,,,,,,,,,,,,,,,
27779,28664,Gregoire Burquier/Michal Konecny,,,,,,,,,,,,,,,,,,,,,
27780,28665,Sander Groen/Lukas Lacko,,,,,,,,,,,,,,,,,,,,,
27781,28666,Michal Przysiezny/Dennis Zivkovic,,,,,,,,,,,,,,,,,,,,,
27782,28667,Dustin Brown/James Cluskey,,,,,,,,,,,,,,,,,,,,,
27783,28668,Fabiano De Paula/Thales Turini,,,,,,,,,,,,,,,,,,,,,
27784,28669,Renier Moolman/Dean O'Brien,,,,,,,,,,,,,,,,,,,,,
27785,28670,Jean Andersen/Ruan Roelofse,,,,,,,,,,,,,,,,,,,,,
27786,28671,Anderson Reed/Jack Sock,,,,,,,,,,,,,,,,,,,,,
27787,28672,Andres Bucaro/Benjamin Lock,,,,,,,,,,,,,,,,,,,,,
27788,28673,Christian Harrison/Michael Venus,,,,,,,,,,,,,,,,,,,,,
27789,28674,Jean-Yves Aubone/Vahid Mirzadeh,,,,,,,,,,,,,,,,,,,,,
27790,28675,Blake Davis/Ryan Harrison,,,,,,,,,,,,,,,,,,,,,
27791,28676,Nicolas Barrientos/Denys Molchanov,,,,,,,,,,,,,,,,,,,,,
27792,28677,Dante Saleh/Mico Santiago,,,,,,,,,,,,,,,,,,,,,
27793,28678,Sekou Bangoura/Reid Carleton,,,,,,,,,,,,,,,,,,,,,
27794,28679,Austin Krajicek/Tennys Sandgren,,,,,,,,,,,,,,,,,,,,,
27795,28680,Cheikh Salif Kante/Happy Takura,,,,,,,,,,,,,,,,,,,,,
27796,28681,Happy Takura,1990-03-19 00:00:00,ZIM,,,,,,,,,,,,,,,,,,,
27797,28682,Nikoloz Basilashvili/Gerald Melzer,,,,,,,,,,,,,,,,,,,,,
27799,28684,Jaume Pla Malfeito,1995-06-03 00:00:00,ESP,551.0,-2.0,60.0,24.0,14.0,11.0,24.0,0.0,0.0,0.0,0.0,18262.0,,519.0,29.0,104.0,0.0,0.0,100164563.0
27800,28685,Viktor Durasovic,1997-03-19 00:00:00,NOR,581.0,3.0,54.0,24.0,8.0,28.0,11.0,0.0,0.0,0.0,0.0,12978.0,,821.0,-2.0,46.0,12.0,5.0,100175918.0
27802,28687,Victor Crivoi/Jonathan Eysseric,,,,,,,,,,,,,,,,,,,,,
27803,28688,Arnau Brugues-Davi/Enrique Lopez-Perez,,,,,,,,,,,,,,,,,,,,,
27804,28689,Ze Shuo Yang,,CHN,,,,,,,,,,,,,,,,,,,
27805,28690,Hao Xu Zhao,,CHN,,,,,,,,,,,,,,,,,,,
27806,28691,Jia Qi Liu,,CHN,,,,,,,,,,,,,,,,,,,
27807,28692,Jian Cheng Zhu,1988-09-30 00:00:00,CHN,,,,,,,,,,,,,,,,,,,
27808,28694,David Moreau,1975-07-10 00:00:00,FRA,,,,,,,,,,,,,,,,,,,
27809,28695,Zhu Guo,1996-05-10 00:00:00,CHN,,,,,,,,,,,,,,,,,,,100200495.0
27810,28696,Sherzodbek Radjabov,1999-03-06 00:00:00,UZB,,,,,,,,,,,,,,,,,,,100190961.0
27811,28697,Temur Kazakov,1996-09-27 00:00:00,UZB,,,,,,,,,,,,,,,,,,,
27812,28698,Ramil Tayupov,1991-08-11 00:00:00,UZB,,,,,,,,,,,,,,,,,,,100141278.0
27813,28699,Saidakbar Akramov,1998-12-15 00:00:00,UZB,,,,,,,,,,,,,,,,,,,
27814,28700,Filippo Giorgetti,1993-02-13 00:00:00,ITA,,,,,,,,,,,,,,,,,,,100168299.0
27815,28701,Giuseppe Fischetti,1989-11-24 00:00:00,ITA,,,,,,,,,,,,,,,,,,,100103993.0
27816,28702,Andrea Marra,1995-05-26 00:00:00,ITA,,,,,,,,,,,,,,,,,,,100229741.0
27817,28703,Joao Pedro Andrello,,BRA,,,,,,,,,,,,,,,,,,,
27818,28704,Grigor Dimitrov/Milos Raonic,,,,,,,,,,,,,,,,,,,,,
27819,28705,Marcelo Melo/Mikhail Youzhny,,,,,,,,,,,,,,,,,,,,,
27820,28706,Michael Llodra/Gilles Simon,,,,,,,,,,,,,,,,,,,,,
27821,28707,Christopher Rungkat/Jose Statham,,,,,,,,,,,,,,,,,,,,,
27822,28708,Ruben Bemelmans/James Ward,,,,,,,,,,,,,,,,,,,,,
27823,28709,Hai-Yun Tan/Jing-Zhu Yang,,,,,,,,,,,,,,,,,,,,,
27824,28710,Marco Chiudinelli/Tatsuma Ito,,,,,,,,,,,,,,,,,,,,,
27825,28711,Matthew Ebden/Matt Reid,,,,,,,,,,,,,,,,,,,,,
27826,28712,Ti Chen/Guillermo Olaso,,,,,,,,,,,,,,,,,,,,,
27827,28713,Alexander Lobkov/Denis Matsukevitch,,,,,,,,,,,,,,,,,,,,,
27828,28714,Teimuraz Gabashvili/Amir Weintraub,,,,,,,,,,,,,,,,,,,,,
27829,28715,Omadbek Bobokulov/Pavel Tsoy,,,,,,,,,,,,,,,,,,,,,
27830,28716,Prakash Amritraj/Vishnu Vardhan,,,,,,,,,,,,,,,,,,,,,
27831,28717,Jan Mertl/Adrian Sikora,,,,,,,,,,,,,,,,,,,,,
27832,28718,Antoine Benneteau/Michael Venus,,,,,,,,,,,,,,,,,,,,,
27833,28719,Sarvar Ikramov/Batyr Sapaev,,,,,,,,,,,,,,,,,,,,,
27834,28720,Jordan Kerr/Konstantin Kravchuk,,,,,,,,,,,,,,,,,,,,,
27835,28721,Federico Delbonis/Diego Sebastian Schwartzman,,,,,,,,,,,,,,,,,,,,,
27836,28722,Andy Ram/Andre Sa,,,,,,,,,,,,,,,,,,,,,
27837,28723,Daniele Giorgini/Walter Trusendi,,,,,,,,,,,,,,,,,,,,,
27838,28724,Andrey Golubev/Frederik Nielsen,,,,,,,,,,,,,,,,,,,,,
27839,28725,Alessandro Motti/Matteo Volante,,,,,,,,,,,,,,,,,,,,,
27840,28726,Andrej Martin/Igor Zelenay,,,,,,,,,,,,,,,,,,,,,
27842,28728,Guido Pella/Eduardo Schwank,,,,,,,,,,,,,,,,,,,,,
27843,28729,Adrian Menendez-Maceiras/Adrian Ungur,,,,,,,,,,,,,,,,,,,,,
27845,28731,Fabiano De Paula/Marcelo Demoliner,,,,,,,,,,,,,,,,,,,,,
27846,28732,Duilio Beretta/Andrea Collarini,,,,,,,,,,,,,,,,,,,,,
27847,28733,Andre Miele/Jose Pereira,,,,,,,,,,,,,,,,,,,,,
27848,28734,Charles Costa/Marcos Vinicius Da Silva Dias,,,,,,,,,,,,,,,,,,,,,
27849,28735,Nicolas Santos/Alexandre Tsuchiya,,,,,,,,,,,,,,,,,,,,,
27850,28736,Wilson Leite/Carlos Eduardo Severino,,,,,,,,,,,,,,,,,,,,,
27851,28737,Andre Ghem/Fabricio Neis,,,,,,,,,,,,,,,,,,,,,
27852,28738,Eduardo Dischinger/Tiago Fernandes,,,,,,,,,,,,,,,,,,,,,
27853,28739,Thiago Moura Monteiro/Thales Turini,,,,,,,,,,,,,,,,,,,,,
27854,28740,Rodrigo Perri/Fritz Wolmarans,,,,,,,,,,,,,,,,,,,,,
27855,28741,Guilherme Clezar/Diego Matos,,,,,,,,,,,,,,,,,,,,,
27856,28742,Yunseong Chung,1998-03-27 00:00:00,KOR,677.0,5.0,36.0,13.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,,,640.0,2.0,77.0,0.0,0.0,100212151.0
27860,28747,Philip Moebius,1996-10-15 00:00:00,SWE,,,,,,,,,,,,,,,,,,,100171186.0
27864,28751,Anvit Bendre,1995-02-27 00:00:00,IND,,,,,,,,,,,,,,652.0,61.0,74.0,,,100157547.0
27869,28756,Jose E Gracia,1995-01-30 00:00:00,USA,,,,,,,,,,,,,,,,,,,100164375.0
27873,28760,Angel Peredo,1997-05-17 00:00:00,MEX,,,,,,,,,,,,,,,,,,,100221957.0
27874,28761,Sang-Yuop Kim,1994-09-01 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100150986.0
27875,28762,Soon-Woo Kwon,1997-12-02 00:00:00,KOR,298.0,4.0,161.0,33.0,11.0,1.0,2.0,0.0,0.0,0.0,0.0,,,491.0,-2.0,110.0,0.0,0.0,100204514.0
27876,28763,Chan-Yeong Oh,1998-06-27 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100210410.0
27877,28764,Seong-Woon Yu,1994-04-14 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100160449.0
27878,28765,Yun Kim,1993-06-25 00:00:00,KOR,,,,,,,,,,,,,,,,,,,
27879,28766,SoonHyun Hwang,1994-10-06 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100143751.0
27880,28767,Hyun-Gyoo Lee,1995-10-23 00:00:00,KOR,,,,,,,,,,,,,,,,,,,100204066.0
27881,28768,Ki-Hoon Kim,1992-04-27 00:00:00,KOR,,,,,,,,,,,,,,,,,,,
27882,28769,Sang-Hoon Song,1992-01-27 00:00:00,KOR,,,,,,,,,,,,,,,,,,,
27883,28770,Marco Zocastello,1996-04-30 00:00:00,SUI,,,,,,,,,,,,,,,,,,,100212393.0
27884,28771,Ali Ahmedov,1991-09-08 00:00:00,UZB,,,,,,,,,,,,,,,,,,,
27885,28772,Timur Goryunov,1992-11-06 00:00:00,UZB,,,,,,,,,,,,,,,,,,,
27886,28773,Sharobiddin Abzalov,1998-02-19 00:00:00,UZB,,,,,,,,,,,,,,,,,,,100190537.0
27887,28774,Khumoun Sultanov,1998-10-27 00:00:00,UZB,746.0,116.0,29.0,,,,,,,,,,,867.0,-3.0,41.0,,,100152554.0
27888,28775,Jeremy Chardy/Treat Conrad Huey,,,,,,,,,,,,,,,,,,,,,
27889,28776,Hsien-Yin Peng/Tsung-Hua Yang,,,,,,,,,,,,,,,,,,,,,
27890,28777,Hyeon Chung/Ji Sung Nam,,,,,,,,,,,,,,,,,,,,,
27891,28778,Philipp Oswald/Andreas Siljestrom,,,,,,,,,,,,,,,,,,,,,
27892,28779,Kaden Hensel/Jose Statham,,,,,,,,,,,,,,,,,,,,,
27893,28780,Matthew Ebden/Enrique Lopez-Perez,,,,,,,,,,,,,,,,,,,,,
27894,28781,Sergey Betov/Marc Giner,,,,,,,,,,,,,,,,,,,,,
27895,28782,Farrukh Dustov/Aleksandr Nedovesov,,,,,,,,,,,,,,,,,,,,,
27896,28783,Frederico Gil/Javier Marti,,,,,,,,,,,,,,,,,,,,,
27897,28784,Ti Chen/Vishnu Vardhan,,,,,,,,,,,,,,,,,,,,,
27898,28785,Radu Albot/Jordan Kerr,,,,,,,,,,,,,,,,,,,,,
